Enc_Actual_Hour_Depart__10:58:00,-0.010330366,,Enc_Direciton__280N-1940,0.022646106
Enc_Actual_Hour_Depart__10:59:00,-0.002994782,,Enc_Miles__17:26:00,0.022553585
Enc_Actual_Hour_Depart__11:00:00,-0.006960772,,Enc_Direciton__280S-1910,0.022319383
Enc_Actual_Hour_Depart__11:01:00,0.001385925,,Enc_Miles__18:39:00,0.022121993
Enc_Actual_Hour_Depart__11:02:00,-0.000480264,,Enc_Actual_Hour_Depart__17:33:00,0.022103718
Enc_Actual_Hour_Depart__11:03:00,-0.004086665,,Enc_Direciton__280S-1830,0.022053475
Enc_Actual_Hour_Depart__11:04:00,-0.001188126,,Enc_Miles__18:10:00,0.021919362
Enc_Actual_Hour_Depart__11:05:00,0.001718752,,Enc_Miles__17:07:00,0.021890564
Enc_Actual_Hour_Depart__11:06:00,0.006787005,,Enc_Actual_Hour_Depart__18:35:00,0.021529011
Enc_Actual_Hour_Depart__11:07:00,0.001981843,,Enc_Actual_Hour_Depart__19:05:00,0.021356106
Enc_Actual_Hour_Depart__11:08:00,-0.003996927,,Enc_Miles__17:14:00,0.021234268
Enc_Actual_Hour_Depart__11:09:00,-7.18E-05,,Enc_Actual_Hour_Depart__17:35:00,0.021222659
Enc_Actual_Hour_Depart__11:10:00,-0.002132556,,Enc_Direciton__280N-1518,0.021206339
Enc_Actual_Hour_Depart__11:11:00,0.004118389,,Enc_Direciton__280N-1425,0.021164193
Enc_Actual_Hour_Depart__11:12:00,0.001811935,,Enc_Miles__20:13:00,0.021096878
Enc_Actual_Hour_Depart__11:13:00,0.003027147,,Enc_Miles__18:16:00,0.02100992
Enc_Actual_Hour_Depart__11:14:00,0.001001055,,Enc_Route_Number__10181,0.020976054
Enc_Actual_Hour_Depart__11:15:00,-0.004570505,,Enc_Miles__18:28:00,0.02061912
Enc_Actual_Hour_Depart__11:16:00,0.001716048,,Enc_Actual_Hour_Depart__17:06:00,0.020581322
Enc_Actual_Hour_Depart__11:17:00,-0.010019964,,Enc_Miles__20:20:00,0.0203919
Enc_Actual_Hour_Depart__11:18:00,-0.008307896,,Enc_Stop__0.922,0.020215757
Enc_Actual_Hour_Depart__11:19:00,-0.006590331,,Enc_Miles__13:50:00,0.020086933
Enc_Actual_Hour_Depart__11:20:00,-0.010108181,,Enc_Direciton__280N-1655,0.020060071
Enc_Actual_Hour_Depart__11:21:00,-0.008264038,,Enc_Actual_Hour_Depart__17:54:00,0.020022398
Enc_Actual_Hour_Depart__11:22:00,0.001498684,,Enc_Route_Number__10061,0.020017899
Enc_Actual_Hour_Depart__11:23:00,-0.004529884,,Enc_Month__12/20/2019,0.020002436
Enc_Actual_Hour_Depart__11:24:00,-0.001502836,,Enc_Direciton__280N-0745,0.019995814
Enc_Actual_Hour_Depart__11:25:00,-0.013386762,,Enc_Actual_Hour_Depart__0:11:00,0.019940754
Enc_Actual_Hour_Depart__11:26:00,0.005297528,,Enc_Actual_Hour_Depart__16:49:00,0.019818558
Enc_Actual_Hour_Depart__11:27:00,0.003520607,,Enc_Miles__20:35:00,0.019780151
