Difference (Minutes),1,,Difference (Minutes),1
Enc_Transit_Date__2/10/2020,0.012627343,,Enc_Stop_Sequence__10711,0.012870986
Enc_Transit_Date__2/11/2020,0.015103851,,Enc_Transit_Date__2/24/2020,0.012867728
Enc_Transit_Date__2/12/2020,0.017954803,,Enc_Badge_#__10,0.012852436
Enc_Transit_Date__2/13/2020,0.018346716,,Enc_Transit_Date__2/3/2020,0.012758046
Enc_Transit_Date__2/14/2020,0.029825365,,Enc_Transit_Date__2/10/2020,0.012627343
Enc_Transit_Date__2/15/2020,0.013639343,,Enc_Day_of_Week__4672,0.012532317
Enc_Transit_Date__2/16/2020,0.003863062,,Enc_Day_of_Week__5124,0.012452938
Enc_Transit_Date__2/17/2020,0.016863663,,Enc_Transit_Date__1/18/2020,0.012443615
Enc_Transit_Date__2/18/2020,0.005879348,,Enc_Transit_Date__1/22/2020,0.012437331
Enc_Transit_Date__2/19/2020,0.017540585,,Enc_Day_of_Week__4736,0.012286131
Enc_Transit_Date__2/2/2020,0.011319498,,Enc_Stop_ID__1.159,0.012220043
Enc_Transit_Date__2/20/2020,0.018210429,,Enc_Day_of_Week__5131,0.012167579
Enc_Transit_Date__2/21/2020,0.005806508,,Enc_Day_of_Week__4935,0.012144977
Enc_Transit_Date__2/23/2020,0.004716147,,Enc_Day_of_Week__5090,0.012101431
Enc_Transit_Date__2/24/2020,0.012867728,,Enc_Day_of_Week__5052,0.012059602
Enc_Transit_Date__2/25/2020,0.030777807,,Enc_Day_of_Week__3032,0.011873782
Enc_Transit_Date__2/26/2020,0.006024016,,Enc_Actual_Hour_Depart__21,0.011755819
Enc_Transit_Date__2/27/2020,0.020442352,,Enc_Transit_Date__1/25/2020,0.011545691
Enc_Transit_Date__2/28/2020,0.007010825,,Enc_Day_of_Week__4403,0.011357885
Enc_Transit_Date__2/29/2020,0.017702127,,Enc_Transit_Date__2/2/2020,0.011319498
Enc_Transit_Date__2/3/2020,0.012758046,,Enc_Day_of_Week__4624,0.011227842
Enc_Transit_Date__2/4/2020,0.020576888,,Enc_Day_of_Week__4839,0.011123249
Enc_Transit_Date__2/5/2020,0.014572074,,Enc_Transit_Date__1/24/2020,0.011026885
Enc_Transit_Date__2/6/2020,0.028988051,,Enc_Day_of_Week__4874,0.010936362
Enc_Transit_Date__2/7/2020,0.023326915,,Enc_Stop_Sequence__10239,0.010695095
Enc_Transit_Date__2/8/2020,0.00654558,,Enc_Stop_Sequence__10296,0.010590077
Enc_Transit_Date__2/9/2020,0.001428536,,Enc_Day_of_Week__5125,0.010476556
Enc_Transit_Date__3/1/2020,0.000605926,,Enc_Transit_Date__1/7/2020,0.010328009
Enc_Transit_Date__3/10/2020,0.019307088,,Enc_Stop_Sequence__10856,0.010321226
Enc_Transit_Date__3/11/2020,-0.000276183,,Enc_Day_of_Week__4523,0.010270988
Enc_Transit_Date__3/12/2020,0.019077516,,Enc_Stop_Sequence__10702,0.010269707
Enc_Transit_Date__3/13/2020,0.017181735,,Enc_Day_of_Week__4923,0.010186965
Enc_Transit_Date__3/14/2020,-0.000810117,,Enc_Transit_Date__7/18/2020,0.010105586
