Feature \ Route,187 2019,,,,,
Enc_Badge__3072.0,-0.012725115,,,,,
Enc_Badge__3088.0,-0.001878163,,,,,
Enc_Badge__3098.0,-0.000999444,,,,,
Enc_Badge__3103.0,-0.021954356,,,,,
Enc_Badge__3115.0,0.020861189,,,,,
Enc_Badge__3119.0,-0.000200973,,,,,
Enc_Badge__3146.0,-0.022602021,,,,,
Enc_Badge__3149.0,0.019875385,,,,,
Enc_Badge__3152.0,-0.026499075,,,,,
Enc_Badge__3158.0,-0.010195205,,,,,
Enc_Badge__3178.0,0.033557889,,,,,
Enc_Badge__3193.0,-0.028381491,,,,,
Enc_Badge__3194.0,0.00924133,,,,,
Enc_Badge__3207.0,-0.018417573,,,,,
Enc_Badge__3215.0,-0.017700724,,,,,
Enc_Badge__3216.0,0.003649985,,,,,
Enc_Badge__3218.0,0.004127914,,,,,
Enc_Badge__3224.0,0.001126136,,,,,
Enc_Badge__3232.0,-0.044195237,,,,,
Enc_Badge__3237.0,-0.028744654,,,,,
Enc_Badge__3239.0,-0.003996558,,,,,
Enc_Badge__3240.0,-0.030327663,,,,,
Enc_Badge__3256.0,-0.020974216,,,,,
Enc_Badge__3257.0,0.010063942,,,,,
Enc_Badge__3258.0,0.000920398,,,,,
Enc_Badge__3261.0,0.001060478,,,,,
Enc_Badge__3264.0,-0.007439557,,,,,
Enc_Badge__3274.0,0.000723443,,,,,
Enc_Badge__3282.0,0.001486533,,,,,
Enc_Badge__3291.0,0.032668785,,,,,
Enc_Badge__3293.0,0.024658731,,,,,
Enc_Badge__3294.0,0.034720731,,,,,
Enc_Badge__3295.0,-0.001707382,,,,,
Enc_Badge__3301.0,-0.041206229,,,,,
Enc_Badge__3308.0,-0.022847735,,,,,
Enc_Badge__3319.0,-0.003407439,,,,,
Enc_Badge__3323.0,0.010043315,,,,,
Enc_Badge__3325.0,0.01203803,,,,,
Enc_Badge__3327.0,0.007614868,,,,,
Enc_Badge__3328.0,-0.003071046,,,,,
Enc_Badge__3367.0,-0.000638872,,,,,
Enc_Badge__3384.0,-0.009565584,,,,,
Enc_Badge__3386.0,-0.024475932,,,,,
Enc_Badge__3392.0,-0.000569516,,,,,
Enc_Badge__3405.0,-0.020100583,,,,,
Enc_Badge__3421.0,-0.013705393,,,,,
Enc_Badge__3460.0,-0.007759838,,,,,
Enc_Badge__3465.0,-0.012661862,,,,,
Enc_Badge__3474.0,0.064344558,,,,,
Enc_Badge__3476.0,-0.002501751,,,,,
Enc_Badge__3480.0,0.003740072,,,,,
Enc_Badge__3482.0,0.01007272,,,,,
Enc_Badge__3492.0,-0.005042299,,,,,
Enc_Badge__3501.0,-0.002208559,,,,,
Enc_Badge__3511.0,-0.005825215,,,,,
Enc_Badge__3516.0,-0.009972756,,,,,
Enc_Badge__3530.0,-0.005248146,,,,,
Enc_Badge__3590.0,-0.007040131,,,,,
Enc_Badge__3615.0,0.004826664,,,,,
Enc_Badge__3619.0,0.029800088,,,,,
Enc_Badge__3622.0,0.025314746,,,,,
Enc_Badge__3647.0,-0.023295278,,,,,
Enc_Badge__3676.0,0.002927808,,,,,
Enc_Badge__3690.0,0.012284666,,,,,
Enc_Badge__3691.0,-0.001108432,,,,,
Enc_Badge__3694.0,-0.007694556,,,,,
Enc_Badge__3723.0,0.030182403,,,,,
Enc_Badge__3725.0,-0.007164672,,,,,
Enc_Badge__3738.0,-0.002140256,,,,,
Enc_Badge__3749.0,-0.003071046,,,,,
Enc_Badge__3753.0,-0.015310272,,,,,
Enc_Badge__3763.0,-0.017008751,,,,,
Enc_Badge__3764.0,-0.002754061,,,,,
Enc_Badge__3777.0,-0.022631814,,,,,
Enc_Badge__3778.0,-0.030121817,,,,,
Enc_Badge__3779.0,0.037556552,,,,,
Enc_Badge__3780.0,0.012189165,,,,,
Enc_Badge__3802.0,0.000828393,,,,,
Enc_Badge__3807.0,-0.008953228,,,,,
Enc_Badge__3827.0,-0.013607522,,,,,
Enc_Badge__3830.0,-0.008055514,,,,,
Enc_Badge__3831.0,-0.021227815,,,,,
Enc_Badge__3835.0,0.028188805,,,,,
Enc_Badge__3837.0,0.00830352,,,,,
Enc_Badge__3844.0,0.027880927,,,,,
Enc_Badge__3899.0,-0.015373108,,,,,
Enc_Badge__3911.0,-0.045283138,,,,,
Enc_Badge__3948.0,0.002949775,,,,,
Enc_Badge__3952.0,-0.006214714,,,,,
Enc_Badge__3954.0,0.014731318,,,,,
Enc_Badge__3981.0,0.002325047,,,,,
Enc_Badge__3993.0,-0.000674131,,,,,
Enc_Badge__4043.0,0.006399269,,,,,
Enc_Badge__4077.0,-0.009371189,,,,,
Enc_Badge__4080.0,0.009655151,,,,,
Enc_Badge__4104.0,-0.006789605,,,,,
Enc_Badge__4115.0,-0.004554318,,,,,
Enc_Badge__4133.0,-0.0059028,,,,,
Enc_Badge__4179.0,0.050586742,,,,,
Enc_Badge__4181.0,-0.003761276,,,,,
Enc_Badge__4192.0,-0.008497093,,,,,
Enc_Badge__4200.0,0.014557553,,,,,
Enc_Badge__4214.0,-0.013378078,,,,,
Enc_Badge__4215.0,0.013310977,,,,,
Enc_Badge__4221.0,-0.004871017,,,,,
Enc_Badge__4227.0,0.029116103,,,,,
Enc_Badge__4237.0,-0.002599678,,,,,
Enc_Badge__4246.0,-0.017058422,,,,,
Enc_Badge__4250.0,0.00038035,,,,,
Enc_Badge__4253.0,0.004280891,,,,,
Enc_Badge__4262.0,-0.003789288,,,,,
Enc_Badge__4272.0,-0.004704338,,,,,
Enc_Badge__4284.0,0.021532363,,,,,
Enc_Badge__4290.0,0.001539661,,,,,
Enc_Badge__4294.0,0.01514648,,,,,
Enc_Badge__4295.0,-0.008794414,,,,,
Enc_Badge__4303.0,0.005724407,,,,,
Enc_Badge__4308.0,-0.019668837,,,,,
Enc_Badge__4315.0,0.014989998,,,,,
Enc_Badge__4322.0,0.015837461,,,,,
Enc_Badge__4355.0,-0.025038191,,,,,
Enc_Badge__4361.0,-0.003085317,,,,,
Enc_Badge__4364.0,0.002787622,,,,,
Enc_Badge__4366.0,-0.007170955,,,,,
Enc_Badge__4369.0,-0.000895113,,,,,
Enc_Badge__4370.0,0.001955455,,,,,
Enc_Badge__4388.0,-0.008729024,,,,,
Enc_Badge__4403.0,-0.006985431,,,,,
Enc_Badge__4419.0,-0.017253137,,,,,
Enc_Badge__4424.0,-0.001223008,,,,,
Enc_Badge__4426.0,-0.000611658,,,,,
Enc_Badge__4441.0,-0.024920081,,,,,
Enc_Badge__4443.0,-0.017090891,,,,,
Enc_Badge__4453.0,-0.00145271,,,,,
Enc_Badge__4467.0,0.021907587,,,,,
Enc_Badge__4471.0,0.000900082,,,,,
Enc_Badge__4475.0,-0.014663011,,,,,
Enc_Badge__4476.0,-0.012359578,,,,,
Enc_Badge__4478.0,0.007926695,,,,,
Enc_Badge__4480.0,-0.036883069,,,,,
Enc_Badge__4482.0,-0.003232199,,,,,
Enc_Badge__4483.0,0.001785415,,,,,
Enc_Badge__4487.0,-0.0030193,,,,,
Enc_Badge__4492.0,0.023178114,,,,,
Enc_Badge__4493.0,-0.001287978,,,,,
Enc_Badge__4496.0,-0.006253307,,,,,
Enc_Badge__4500.0,-0.000593664,,,,,
Enc_Badge__4501.0,-0.004123555,,,,,
Enc_Badge__4514.0,-0.0005927,,,,,
Enc_Badge__4516.0,-0.004805687,,,,,
Enc_Badge__4517.0,0.006084776,,,,,
Enc_Badge__4519.0,0.005296467,,,,,
Enc_Badge__4520.0,0.021970796,,,,,
Enc_Badge__4521.0,0.000299038,,,,,
Enc_Badge__4522.0,-0.012312441,,,,,
Enc_Badge__4523.0,-0.017097334,,,,,
Enc_Badge__4525.0,-0.005023654,,,,,
Enc_Badge__4531.0,-0.002574016,,,,,
Enc_Badge__4540.0,-0.007999627,,,,,
Enc_Badge__4543.0,-0.012035087,,,,,
Enc_Badge__4545.0,0.013616378,,,,,
Enc_Badge__4547.0,-0.016097125,,,,,
Enc_Badge__4549.0,-0.018509506,,,,,
Enc_Badge__4550.0,0.016768539,,,,,
Enc_Badge__4553.0,0.003868704,,,,,
Enc_Badge__4554.0,-0.002823315,,,,,
Enc_Badge__4559.0,-0.009118433,,,,,
Enc_Badge__4561.0,0.000383932,,,,,
Enc_Badge__4563.0,0.017758543,,,,,
Enc_Badge__4565.0,-0.006775425,,,,,
Enc_Badge__4567.0,-0.015763497,,,,,
Enc_Badge__4575.0,0.000834861,,,,,
Enc_Badge__4576.0,0.004348815,,,,,
Enc_Badge__4577.0,-0.009668507,,,,,
Enc_Badge__4579.0,-0.004557626,,,,,
Enc_Badge__4585.0,-0.013077306,,,,,
Enc_Badge__4586.0,0.012262974,,,,,
Enc_Badge__4587.0,-0.002839476,,,,,
Enc_Badge__4589.0,-0.009757501,,,,,
Enc_Badge__4590.0,-0.0393931,,,,,
Enc_Badge__4591.0,-0.052762345,,,,,
Enc_Badge__4594.0,-0.005657434,,,,,
Enc_Badge__4595.0,-0.015138942,,,,,
Enc_Badge__4601.0,-0.011059377,,,,,
Enc_Badge__4603.0,0.093717277,,,,,
Enc_Badge__4605.0,-0.012829562,,,,,
Enc_Badge__4606.0,-0.002721735,,,,,
Enc_Badge__4608.0,0.004729855,,,,,
Enc_Badge__4609.0,-0.019073689,,,,,
Enc_Badge__4611.0,0.013425144,,,,,
Enc_Badge__4617.0,0.00626229,,,,,
Enc_Badge__4620.0,-0.016074024,,,,,
Enc_Badge__4624.0,-0.001835085,,,,,
Enc_Badge__4628.0,-0.023292923,,,,,
Enc_Badge__4633.0,-0.002386134,,,,,
Enc_Badge__4645.0,0.014586182,,,,,
Enc_Badge__4647.0,-0.011119096,,,,,
Enc_Badge__4649.0,0.001791925,,,,,
Enc_Badge__4655.0,0.010428295,,,,,
Enc_Badge__4658.0,0.015808761,,,,,
Enc_Badge__4660.0,0.009330582,,,,,
Enc_Badge__4665.0,-0.007487708,,,,,
Enc_Badge__4666.0,0.003444874,,,,,
Enc_Badge__4667.0,0.003760335,,,,,
Enc_Badge__4669.0,0.005530567,,,,,
Enc_Badge__4670.0,-0.003297441,,,,,
Enc_Badge__4672.0,0.008384252,,,,,
Enc_Badge__4673.0,-0.003086376,,,,,
Enc_Badge__4674.0,-0.009436086,,,,,
Enc_Badge__4677.0,-0.017699334,,,,,
Enc_Badge__4678.0,0.001497044,,,,,
Enc_Badge__4679.0,0.007639811,,,,,
Enc_Badge__4682.0,-0.004863728,,,,,
Enc_Badge__4683.0,-0.006136564,,,,,
Enc_Badge__4684.0,0.009036322,,,,,
Enc_Badge__4687.0,-0.001937587,,,,,
Enc_Badge__4688.0,-0.004752887,,,,,
Enc_Badge__4691.0,-0.013856174,,,,,
Enc_Badge__4693.0,-0.002622981,,,,,
Enc_Badge__4696.0,-0.002710556,,,,,
Enc_Badge__4698.0,0.015418733,,,,,
Enc_Badge__4699.0,0.005413167,,,,,
Enc_Badge__4701.0,0.035900157,,,,,
Enc_Badge__4703.0,0.003438398,,,,,
Enc_Badge__4705.0,-0.005705882,,,,,
Enc_Badge__4707.0,0.008201976,,,,,
Enc_Badge__4709.0,-0.002989851,,,,,
